Property Location,Unit Desc,Unit #,City,State,Zip Code,Neighborhood Valuation Code,Trailer Description,Municipality,Classification,Land Use Code,School District,Topography,Utilities,Street/Road,Total Cards,Living Units,CAMA Acres,Homestead /Farmstead,Approved?
120 COUNTRY CLUB RD,,,,,,0101,,ALLEN TOWNSHIP,Residential,173 - Mobile Home - in a m.h. park,NORTHAMPTON SCHOOL DIST,LEVEL,ALL PUBLIC,PAVED,1,1,0,H - Homestead,A - Approved
258-60 MAIN ST,,,,,,0201,,BANGOR BOROUGH,Residential,"120 - 2 -4 Family, Residential",BANGOR SCHOOL DIST,LEVEL,ALL PUBLIC,PAVED/SIDEWALK,1,2,.0806,No,No
325 NORTHAMPTON ST,,,,,,0201,,BANGOR BOROUGH,Residential,"110 - Single Family, Residential",BANGOR SCHOOL DIST,LEVEL,ALL PUBLIC,PAVED/SIDEWALK,1,1,.1377,No,No
323 NORTHAMPTON ST,,,,,,0201,,BANGOR BOROUGH,Residential,"110 - Single Family, Residential",BANGOR SCHOOL DIST,LEVEL,ALL PUBLIC,PAVED/SIDEWALK,1,1,.0723,No,No
3226 OAKLAND SQUARE DR,,,,,,0504,,BETHLEHEM TOWNSHIP,Residential,"151 - Condo, common element",BETHLEHEM SCHOOL DIST,LEVEL,ALL PUBLIC,PAVED,1,1,,No,No
110 SNOWDRIFT LN,,,,,,0601,TRLR 8X28,BUSHKILL TOWNSHIP,Residential,171 - Mobile Home - on owned land,NAZARETH SCHOOL DIST,LEVEL,WELL/SEPTIC APPROVED,PAVED,1,0,.92,No,No
CENTRAL AVE,,,,,,0901,,EAST BANGOR BOROUGH,Residential,90 - Vacant Land,BANGOR SCHOOL DIST,LEVEL,PUBLIC WATER,PAVED/SIDEWALK,1,1,.1591,No,No
1035 FERRY ST,,,,,,1004,,EASTON CITY,Residential,"110 - Single Family, Residential",EASTON SCHOOL DIST,LEVEL,ALL PUBLIC,PAVED/SIDEWALK,1,1,.0324,H - Homestead,A - Approved
675 PINE ST,,,,,,C016,,EASTON CITY,Commercial,562 - Repair Shop or Garage,EASTON SCHOOL DIST,LEVEL,ALL PUBLIC,PAVED/SIDEWALK,1,0,.0712,No,No
63-65 OAK ST,,,,,,1004,,EASTON CITY,Residential,90 - Vacant Land,EASTON SCHOOL DIST,LEVEL,ALL PUBLIC,PAVED/SIDEWALK,1,0,.0292,No,No
645 FERRY ST,,,,,,1004,,EASTON CITY,Residential,"110 - Single Family, Residential",EASTON SCHOOL DIST,LEVEL,ALL PUBLIC,PAVED/SIDEWALK,1,1,.1545,H - Homestead,A - Approved
